"State","St_case","Latitude","Longitud","Race","Hispanic","Per_typ","Age","Sex","Inj_sev","County","City","Month","Day","Hour","Func_sys","Drunk_dr","Body_typ","Is_Motorcycle","Race_desc","Per_type_desc","Year","Age_Cohort","Mode","County_Name"
41,410220,44.666783333,-121.0954944,"1",1,1,54,1,4,31,0,8,11,21,2,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","JEFFERSON"
41,410220,44.666783333,-121.0954944,"0",0,1,47,1,3,31,0,8,11,21,2,0,2,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","JEFFERSON"
41,410220,44.666783333,-121.0954944,"0",0,2,47,2,3,31,0,8,11,21,2,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","JEFFERSON"
41,410220,44.666783333,-121.0954944,"0",0,2,6,2,3,31,0,8,11,21,2,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_5_9","Motor Vehicle","JEFFERSON"
41,410221,42.381325,-123.4878556,"1",7,1,76,1,4,33,0,8,11,14,2,0,31,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_75_84","Motor Vehicle","JOSEPHINE"
41,410222,45.296247222,-122.9031194,"0",0,1,23,1,3,71,0,8,15,23,6,0,65,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","YAMHILL"
41,410222,45.296247222,-122.9031194,"1",7,2,24,2,4,71,0,8,15,23,6,0,65,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","YAMHILL"
41,410222,45.296247222,-122.9031194,"0",0,2,24,1,2,71,0,8,15,23,6,0,65,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","YAMHILL"
41,410222,45.296247222,-122.9031194,"0",0,2,1,2,1,71,0,8,15,23,6,0,65,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_Under5","Motor Vehicle","YAMHILL"
41,410223,44.091088889,-122.9527778,"0",0,1,18,1,2,39,0,8,16,14,6,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","LANE"
41,410223,44.091088889,-122.9527778,"1",7,2,15,2,4,39,0,8,16,14,6,0,4,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","LANE"
41,410224,46.170136111,-123.4657472,"0",0,1,34,1,3,7,0,8,17,14,2,0,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","CLATSOP"
41,410224,46.170136111,-123.4657472,"1",7,1,59,1,4,7,0,8,17,14,2,0,3,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","CLATSOP"
41,410224,46.170136111,-123.4657472,"1",7,2,54,2,4,7,0,8,17,14,2,0,3,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","CLATSOP"
41,410224,46.170136111,-123.4657472,"0",0,1,58,2,0,7,0,8,17,14,2,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","CLATSOP"
41,410224,46.170136111,-123.4657472,"0",0,2,62,2,0,7,0,8,17,14,2,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","CLATSOP"
41,410224,46.170136111,-123.4657472,"0",0,2,84,2,0,7,0,8,17,14,2,0,4,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_75_84","Motor Vehicle","CLATSOP"
41,410225,45.634477778,-123.1062694,"1",7,1,63,1,4,67,0,8,19,17,2,1,31,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","WASHINGTON"
41,410226,44.995425,-123.0452444,"1",7,1,32,1,4,47,1168,8,19,24,16,1,80,TRUE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motorcycle","MARION"
41,410227,43.364413889,-118.5856722,"1",7,1,43,1,4,25,0,8,21,12,3,2,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","HARNEY"
41,410227,43.364413889,-118.5856722,"1",7,2,38,2,4,25,0,8,21,12,3,2,4,FALSE,"White","Passenger of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","HARNEY"
41,410227,43.364413889,-118.5856722,"0",0,1,56,2,2,25,0,8,21,12,3,2,31,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_55_64","Motor Vehicle","HARNEY"
41,410228,44.049058333,-123.2092139,"1",7,1,25,1,4,39,0,8,22,21,4,0,30,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_25_29","Motor Vehicle","LANE"
41,410229,45.465852778,-122.6973944,"1",4,1,34,1,4,51,1650,8,24,3,13,0,4,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_30_34","Motor Vehicle","MULTNOMAH"
41,410230,43.977255556,-123.8992389,"1",7,1,44,1,4,39,0,8,24,9,6,0,62,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_35_44","Motor Vehicle","LANE"
41,410231,43.843680556,-122.6298139,"1",7,1,21,2,4,39,0,8,23,13,2,0,2,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","LANE"
41,410231,43.843680556,-122.6298139,"0",0,2,19,1,3,39,0,8,23,13,2,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_18_19","Motor Vehicle","LANE"
41,410231,43.843680556,-122.6298139,"0",0,2,16,1,3,39,0,8,23,13,2,0,2,FALSE,"Latinx","Passenger of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","LANE"
41,410231,43.843680556,-122.6298139,"0",0,1,49,1,2,39,0,8,23,13,2,0,66,FALSE,"Latinx","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","LANE"
41,410232,42.363958333,-123.5326194,"1",7,1,45,1,4,33,0,8,21,16,2,0,6,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_45_54","Motor Vehicle","JOSEPHINE"
41,410233,45.652905556,-123.2931111,"1",7,1,17,2,4,67,0,8,22,10,3,0,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_15_17","Motor Vehicle","WASHINGTON"
41,410234,42.411061111,-122.9559028,"1",7,1,21,1,4,29,0,8,22,19,1,1,4,FALSE,"White","Driver of a Motor Vehicle In-Transport",2004,"Age_20_24","Motor Vehicle","JACKSON"
